Table 8,,,,,,,,,,,
MARYLAND,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by City, 2019",,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
Aberdeen,"16,194",120,0,9,28,83,326,60,254,12,2
Annapolis,"39,277",252,4,11,67,170,924,98,734,92,15
Baltimore,"597,239","11,101",348,324,"4,856","5,573","25,748","5,414","16,395","3,939",108
Baltimore City Sheriff,,0,0,0,0,0,0,0,0,0,0
Bel Air,"10,031",21,0,2,5,14,175,8,167,0,0
Berlin,"4,862",3,0,1,0,2,67,6,61,0,0
Berwyn Heights,"3,278",7,0,0,6,1,64,7,49,8,0
Bladensburg,"9,476",59,3,3,18,35,308,17,221,70,0
Boonsboro,"3,596",1,0,0,0,1,16,5,11,0,
Bowie,"59,093",59,1,8,26,24,896,55,759,82,
Brentwood,"3,494",15,0,1,7,7,51,7,27,17,0
Brunswick,"6,426",15,0,0,3,12,124,18,104,2,0
Cambridge,"12,264",119,2,10,20,87,659,138,507,14,5
Capitol Heights,"4,551",19,1,1,10,7,60,7,37,16,0
Centreville,"4,882",4,0,2,0,2,39,6,32,1,1
Chestertown,"5,027",13,0,1,6,6,71,17,52,2,1
Cheverly,"6,482",24,0,0,14,10,124,15,94,15,0
Chevy Chase Village,"2,073",0,0,0,0,0,40,11,27,2,0
Colmar Manor,"1,468",6,0,0,1,5,42,2,38,2,
Cottage City,"1,363",2,0,0,1,1,26,4,17,5,0
Crisfield,"2,554",3,1,0,0,2,11,2,9,0,1
Cumberland,"19,321",151,0,9,33,109,869,216,627,26,5
Delmar,"3,248",12,0,0,3,9,58,6,50,2,0
Denton,"4,504",11,0,1,4,6,156,19,135,2,1
District Heights,"6,015",20,0,1,10,9,55,10,38,7,
Easton,"16,523",49,1,8,10,30,332,29,297,6,0
Edmonston,"1,499",1,0,0,0,1,29,3,16,10,0
Elkton,"15,662",151,0,11,39,101,"1,039",109,877,53,0
Fairmount Heights,"1,533",10,3,0,5,2,42,11,23,8,0
Federalsburg,"2,652",14,1,2,3,8,67,15,49,3,0
Forest Heights,"2,583",9,2,0,4,3,24,2,11,11,0
Frederick,"73,030",296,2,37,54,203,"1,364",199,"1,112",53,11
Frostburg,"8,510",14,0,0,4,10,153,28,114,11,
Fruitland,"5,346",15,0,2,0,13,228,17,208,3,0
Glenarden,"6,234",4,0,1,0,3,54,4,42,8,0
Greenbelt,"23,417",110,1,3,41,65,726,63,588,75,0
Greensboro,"1,874",3,0,0,0,3,46,12,32,2,0
Hagerstown,"40,258",213,3,22,81,107,960,239,613,108,26
Hampstead,"6,397",7,0,0,0,7,31,12,19,0,2
Hancock,"1,539",0,0,0,0,0,6,0,5,1,0
Havre de Grace,"13,890",36,0,3,7,26,165,19,145,1,0
Hurlock,"2,013",2,0,0,0,2,81,6,68,7,0
Hyattsville,"18,331",85,4,3,53,25,"1,112",54,996,62,0
Landover Hills,"1,656",9,1,0,6,2,77,3,64,10,0
La Plata,"9,538",47,0,0,9,38,316,20,285,11,2
Laurel,"25,814",123,1,8,51,63,887,69,739,79,0
Luke,61,0,0,0,0,0,0,0,0,0,0
Manchester,"4,858",0,0,0,0,0,11,1,10,0,0
Morningside,"1,296",9,0,1,5,3,27,1,25,1,0
Mount Airy,"9,472",5,0,0,0,5,115,15,96,4,0
Mount Rainier,"8,143",33,1,1,19,12,255,24,199,32,0
New Carrollton,"13,036",33,0,2,10,21,165,19,118,28,0
North East,"3,639",12,0,0,6,6,85,17,63,5,0
Oakland,"1,816",2,0,0,0,2,114,3,111,0,0
Ocean City,"6,905",91,0,5,18,68,720,94,615,11,0
Ocean Pines,"12,264",8,0,0,0,8,72,22,49,1,0
Oxford,598,0,0,0,0,0,3,2,1,0,0
Perryville,"4,431",15,0,0,2,13,80,12,66,2,0
Pocomoke City,"4,025",3,0,1,2,0,106,15,89,2,0
Princess Anne,"3,549",29,0,5,6,18,178,46,132,0,0
Ridgely,"1,652",4,0,1,1,2,42,3,39,0,0
Rising Sun,"2,799",6,0,0,0,6,23,3,20,0,1
Riverdale Park,"7,258",22,1,0,7,14,192,19,149,24,0
Rock Hall,"1,264",2,0,0,0,2,8,2,6,0,0
Salisbury,"33,132",294,0,19,58,217,"1,422",207,"1,170",45,2
Seat Pleasant,"4,803",36,1,0,15,20,104,12,74,18,1
Smithsburg,"2,967",1,0,0,0,1,13,2,11,0,0
Snow Hill,"2,029",5,0,0,1,4,19,3,16,0,0
St. Michaels,"1,025",6,0,0,1,5,17,3,13,1,0
Sykesville,"3,959",33,0,1,0,32,24,4,16,4,0
Takoma Park,"17,893",71,0,5,30,36,409,50,333,26,0
Taneytown,"6,824",13,0,0,0,13,64,5,59,0,0
Thurmont,"6,824",15,0,0,2,13,42,5,37,0,0
University Park,"2,651",0,0,0,0,0,31,2,20,9,0
Upper Marlboro,675,0,0,0,0,0,14,1,13,0,0
Westminster,"18,664",68,0,9,13,46,575,66,493,16,0
1 The figures shown in this column for the offense of rape were reported using only the revised Uniform Crime Reporting definition of rape. See the data declaration for further explanation. ,,,,,,,,,,,
2 The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year.,,,,,,,,,,,
