Table 8,,,,,,,,,,,
VIRGINIA,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by City, 2019",,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Abingdon,"7,933",7,0,1,1,5,118,6,104,8,0
Alexandria,"162,258",288,2,19,80,187,"2,517",117,"2,005",395,2
Amherst,"2,179",3,0,1,0,2,14,3,11,0,0
Appalachia,"1,544",6,0,2,0,4,48,8,34,6,1
Ashland,"7,916",19,0,1,4,14,158,8,142,8,1
Bedford,"6,588",9,0,3,0,6,198,6,187,5,1
Berryville,"4,363",1,0,0,0,1,33,6,27,0,0
Big Stone Gap,"5,170",4,0,3,0,1,84,6,74,4,0
Blacksburg,"44,948",50,0,26,1,23,275,38,228,9,1
Bluefield,"4,822",9,0,3,1,5,274,9,254,11,0
Bowling Green,"1,187",0,0,0,0,0,0,0,0,0,0
Bridgewater,"6,167",0,0,0,0,0,23,2,21,0,0
Bristol,"16,234",52,0,14,6,32,388,66,287,35,0
Broadway,"3,973",0,0,0,0,0,13,4,9,0,0
Brookneal,"1,098",2,0,0,1,1,9,0,9,0,0
Buena Vista,"6,156",7,0,3,0,4,18,3,15,0,0
Cape Charles,"1,002",4,0,0,0,4,3,0,3,0,0
Cedar Bluff,"1,003",1,0,1,0,0,7,2,4,1,0
Charlottesville,"48,453",157,0,32,22,103,"1,124",122,924,78,5
Chase City,"2,212",5,0,0,1,4,35,9,25,1,0
Chatham,"1,433",0,0,0,0,0,9,0,9,0,0
Chesapeake,"243,726","1,112",7,111,139,855,"5,541",510,"4,641",390,12
Chilhowie,"1,710",0,0,0,0,0,20,1,17,2,0
Chincoteague,"2,872",4,0,2,1,1,50,8,39,3,0
Christiansburg,"22,700",31,0,7,4,20,466,28,424,14,2
Clifton Forge,"3,465",8,0,1,0,7,43,5,35,3,0
Clintwood,"1,287",0,0,0,0,0,25,2,23,0,0
Coeburn,"1,857",2,0,0,0,2,39,9,24,6,0
Colonial Beach,"3,593",11,0,2,1,8,48,5,41,2,0
Colonial Heights,"17,793",71,1,20,6,44,720,37,663,20,4
Covington,"5,372",5,0,3,0,2,116,10,98,8,1
Crewe,"2,148",9,0,0,2,7,43,11,31,1,1
Culpeper,"18,873",32,0,4,13,15,340,9,315,16,0
Damascus,787,0,0,0,0,0,56,3,49,4,0
Danville,"40,191",112,8,11,25,68,"1,467",180,"1,205",82,10
Dayton,"1,636",1,0,0,1,0,8,2,6,0,0
Dublin,"2,604",3,0,2,0,1,33,6,25,2,1
Dumfries,"5,265",7,1,0,4,2,41,3,34,4,0
Elkton,"2,900",3,0,0,0,3,71,34,35,2,1
Emporia,"5,000",12,1,3,5,3,195,19,168,8,1
Exmore,"1,368",9,0,2,2,5,33,5,25,3,0
Fairfax City,"24,689",18,0,4,11,3,345,11,308,26,2
Falls Church,"15,008",10,0,1,5,4,230,12,173,45,1
Farmville,"7,830",31,0,5,3,23,167,16,146,5,1
Franklin,"7,899",16,2,3,7,4,292,24,248,20,3
Front Royal,"15,336",28,0,9,3,16,293,27,242,24,2
Galax,"6,320",29,0,12,1,16,255,17,226,12,2
Gate City,"1,857",4,0,1,0,3,22,1,19,2,0
Glade Spring,"1,426",0,0,0,0,0,11,2,6,3,0
Glasgow,"1,111",0,0,0,0,0,2,0,2,0,0
Gordonsville,"1,621",6,0,1,0,5,19,3,16,0,0
Gretna,"1,197",1,0,0,0,1,9,1,6,2,0
Grottoes,"2,860",1,0,1,0,0,25,2,21,2,0
Grundy,900,1,0,0,0,1,23,1,21,1,0
Halifax,"1,217",2,0,0,0,2,22,9,11,2,0
Hampton,"133,173",393,15,42,122,214,"3,994",347,"3,397",250,25
Harrisonburg,"54,387",112,0,32,17,63,924,68,813,43,5
Haymarket,"1,740",0,0,0,0,0,8,0,8,0,0
Haysi,472,0,0,0,0,0,7,3,4,0,0
Herndon,"24,693",64,2,5,25,32,270,15,230,25,0
Hillsville,"2,644",7,0,2,0,5,54,4,49,1,0
Honaker,"1,330",2,0,0,1,1,16,4,12,0,0
Hopewell,"22,461",75,5,3,22,45,480,80,349,51,3
Hurt,"1,226",2,0,2,0,0,9,0,8,1,0
Independence,896,0,0,0,0,0,5,1,3,1,0
Jonesville,931,1,0,1,0,0,15,0,15,0,0
Kenbridge,"1,180",0,0,0,0,0,0,0,0,0,0
Kilmarnock,"1,410",1,0,0,0,1,21,1,20,0,1
La Crosse,573,0,0,0,0,0,1,1,0,0,0
Lawrenceville,993,1,0,0,0,1,10,1,8,1,0
Lebanon,"3,148",9,0,4,1,4,128,6,120,2,0
Leesburg,"55,461",102,0,20,19,63,570,21,530,19,1
Lexington,"7,107",7,0,1,1,5,27,3,24,0,0
Louisa,"1,721",1,0,0,0,1,44,0,41,3,0
Luray,"4,853",11,0,1,0,10,136,13,122,1,0
Lynchburg,"82,512",316,2,35,60,219,"1,802",261,"1,382",159,11
Manassas,"41,850",103,2,19,26,56,623,53,528,42,13
Manassas Park,"17,602",21,0,13,2,6,154,12,131,11,1
Marion,"5,593",24,0,3,1,20,224,33,184,7,1
Martinsville,"12,726",66,2,9,13,42,343,49,260,34,0
Middleburg,864,0,0,0,0,0,4,0,4,0,0
Middletown,"1,396",0,0,0,0,0,5,0,4,1,0
Mount Jackson,"2,115",3,0,2,0,1,21,3,18,0,0
Narrows,"1,955",1,0,0,0,1,25,6,16,3,1
New Market,"2,256",1,0,0,0,1,18,1,17,0,0
Newport News,"177,319","1,056",24,64,164,804,"4,484",503,"3,641",340,40
Norfolk,"242,813","1,325",36,134,311,844,"8,405",841,"6,765",799,8
Norton,"3,940",6,0,2,0,4,134,8,120,6,0
Occoquan,"1,109",1,0,0,0,1,2,0,2,0,0
Onancock,"1,210",3,0,1,1,1,24,7,15,2,1
Onley,500,1,0,0,1,0,21,1,18,2,0
Orange,"5,092",15,0,3,0,12,81,12,68,1,0
Parksley,810,0,0,0,0,0,4,0,2,2,0
Pearisburg,"2,639",2,0,1,0,1,67,3,57,7,0
Pembroke,"1,085",1,0,0,0,1,14,3,10,1,0
Pennington Gap,"1,716",1,0,0,0,1,38,1,36,1,0
