Table 8,,,,,,,,,,,
VIRGINIA,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by City, 2017",,,,,,,,,,,
State,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Abingdon,"8,066",14,0,2,2,10,141,16,116,9,1
Alexandria,"158,256",262,6,16,102,138,"2,482",163,"2,046",273,8
Altavista,"3,470",4,0,0,0,4,110,12,94,4,0
Amherst,"2,201",1,0,0,1,0,12,1,10,1,0
Appalachia,"1,638",4,0,0,1,3,20,8,12,0,1
Ashland,"7,722",31,1,1,4,25,160,13,141,6,0
Bedford,"6,622",15,1,4,4,6,234,10,217,7,1
Berryville,"4,324",1,0,1,0,0,38,7,30,1,0
Big Stone Gap,"5,334",6,0,3,1,2,173,16,154,3,5
Blacksburg,"45,443",24,0,10,1,13,339,40,289,10,1
Blackstone,"3,427",14,0,2,3,9,139,17,114,8,1
Bluefield,"4,894",16,3,7,3,3,248,19,228,1,0
Bridgewater,"6,119",1,0,0,0,1,12,0,12,0,0
Bristol,"16,795",54,0,15,3,36,562,86,428,48,1
Broadway,"3,889",4,0,2,0,2,12,2,10,0,0
Brookneal,"1,117",4,0,0,1,3,18,3,14,1,0
Burkeville,402,0,0,0,0,0,19,2,16,1,0
Cape Charles,"1,044",1,0,0,0,1,10,0,10,0,0
Cedar Bluff,"1,049",0,0,0,0,0,3,1,1,1,0
Charlottesville,"47,446",185,3,31,22,129,"1,036",145,820,71,6
Chase City,"2,268",11,1,0,2,8,38,15,17,6,1
Chatham,"1,473",0,0,0,0,0,8,0,8,0,0
Chesapeake,"240,119","1,006",11,87,198,710,"5,456",663,"4,543",250,20
Chilhowie,"1,712",0,0,0,0,0,17,4,13,0,0
Chincoteague,"2,916",4,0,2,1,1,37,7,28,2,1
Clarksville,"1,181",1,0,0,0,1,24,3,21,0,0
Clifton Forge,"3,689",9,0,0,1,8,48,3,42,3,1
Clintwood,"1,285",1,0,0,0,1,24,5,19,0,0
Coeburn,"1,970",10,0,4,0,6,44,4,36,4,1
Colonial Beach,"3,577",11,1,2,0,8,47,11,32,4,0
Colonial Heights,"17,820",67,3,25,20,19,728,25,688,15,8
Covington,"5,442",17,0,1,0,16,88,9,76,3,1
Crewe,"2,199",8,0,0,5,3,58,9,45,4,0
Culpeper,"18,232",45,0,5,13,27,320,22,279,19,3
Damascus,796,2,0,0,0,2,38,4,33,1,0
Danville,"41,680",250,13,14,68,155,"1,808",288,"1,422",98,13
Dayton,"1,621",0,0,0,0,0,3,0,3,0,0
Dublin,"2,710",5,0,2,0,3,17,3,12,2,0
Dumfries,"5,219",4,0,0,1,3,47,7,34,6,0
Elkton,"2,871",2,0,0,1,1,31,3,25,3,0
Emporia,"5,201",22,2,1,9,10,223,29,189,5,0
Exmore,"1,438",2,0,1,0,1,26,2,24,0,0
Fairfax City,"24,406",33,0,7,23,3,366,10,339,17,1
Falls Church,"14,278",10,0,4,2,4,213,10,194,9,1
Farmville,"8,127",18,0,5,4,9,226,21,195,10,1
Franklin,"8,250",30,1,4,14,11,465,62,386,17,2
Fredericksburg,"29,016",108,2,9,17,80,"1,026",53,922,51,6
Galax,"6,728",19,1,2,3,13,260,35,208,17,0
Gate City,"1,911",4,0,2,0,2,29,5,21,3,2
Glade Spring,"1,446",0,0,0,0,0,4,0,3,1,0
Glasgow,"1,117",0,0,0,0,0,0,0,0,0,0
Glen Lyn,118,0,0,0,0,0,3,1,2,0,0
Gordonsville,"1,599",3,0,1,0,2,14,3,10,1,0
Gretna,"1,231",0,0,0,0,0,11,5,5,1,0
Grottoes,"2,821",3,0,1,0,2,20,0,20,0,0
Grundy,949,0,0,0,0,0,23,0,22,1,0
Halifax,"1,240",1,0,0,1,0,15,2,11,2,0
Hampton,"134,929",407,17,26,185,179,"4,364",551,"3,481",332,18
Harrisonburg,"53,717",128,3,24,12,89,897,115,739,43,3
Haymarket,"2,001",1,0,0,0,1,16,1,14,1,0
Haysi,473,1,0,0,1,0,5,3,2,0,0
Herndon,"24,561",38,0,4,12,22,287,10,268,9,0
Hillsville,"2,643",1,0,1,0,0,65,12,48,5,0
Honaker,"1,352",3,0,0,0,3,31,4,26,1,0
Hopewell,"22,723",79,2,2,28,47,596,147,392,57,3
Hurt,"1,260",0,0,0,0,0,2,0,2,0,0
Independence,919,2,0,1,0,1,11,1,8,2,1
Jonesville,948,1,0,0,0,1,8,1,7,0,0
Kenbridge,"1,214",0,0,0,0,0,0,0,0,0,0
Kilmarnock,"1,431",1,0,0,0,1,34,5,24,5,0
La Crosse,581,0,0,0,0,0,5,1,4,0,0
Lebanon,"3,260",2,0,1,0,1,110,4,101,5,1
Lexington,"7,034",9,0,2,1,6,40,6,33,1,0
Louisa,"1,665",1,0,0,0,1,34,0,34,0,0
Luray,"4,804",8,0,3,2,3,122,11,107,4,0
Lynchburg,"80,890",287,4,33,42,208,"1,886",224,"1,522",140,7
Manassas,"41,995",95,3,15,36,41,788,100,649,39,9
Manassas Park,"16,158",20,0,9,4,7,147,12,124,11,3
Marion,"5,837",20,0,2,2,16,247,43,188,16,1
Martinsville,"13,383",40,2,4,4,30,395,68,306,21,0
Middleburg,856,0,0,0,0,0,7,0,6,1,0
Middletown,"1,345",1,0,1,0,0,4,1,2,1,0
Mount Jackson,"2,048",2,0,0,0,2,50,3,47,0,0
Narrows,"1,963",1,0,0,0,1,3,0,3,0,0
New Market,"2,217",1,0,1,0,0,17,0,17,0,0
Newport News,"181,738",907,24,93,239,551,"5,528",829,"4,211",488,46
Norfolk,"245,190","1,363",36,135,371,821,"9,192","1,156","7,318",718,8
Norton,"3,842",5,0,2,1,2,132,9,117,6,1
Occoquan,"1,082",0,0,0,0,0,2,0,2,0,0
Onancock,"1,266",8,0,1,0,7,14,0,12,2,0
Onley,513,2,0,0,1,1,17,1,16,0,0
Orange,"5,033",7,0,0,1,6,65,5,53,7,1
Parksley,841,0,0,0,0,0,3,1,2,0,0
Pearisburg,"2,683",5,0,2,0,3,58,6,49,3,0
Pembroke,"1,086",0,0,0,0,0,19,1,16,2,0
Pennington Gap,"1,759",2,0,0,0,2,15,1,14,0,0
Petersburg,"31,739",252,12,13,75,152,"1,080",177,790,113,5
Pocahontas,372,0,0,0,0,0,0,0,0,0,0
Poquoson,"11,981",19,0,3,2,14,183,34,149,0,1
Portsmouth,"95,100",677,17,36,224,400,"5,447","1,160","3,903",384,6
Pound,945,0,0,0,0,0,4,0,1,3,0
Pulaski,"8,799",22,1,12,1,8,262,52,196,14,2
Purcellville,"9,779",10,0,1,0,9,49,3,43,3,0
Quantico,550,0,0,0,0,0,1,0,1,0,0
Radford,"17,641",68,0,16,7,45,237,59,172,6,2
Rich Creek,752,4,0,3,1,0,10,1,8,1,0
Richlands,"5,365",10,0,4,0,6,94,20,71,3,0
Roanoke,"100,027",402,16,41,79,266,"4,493",487,"3,719",287,26
Rocky Mount,"4,801",16,0,5,3,8,170,16,150,4,3
Rural Retreat,"1,480",0,0,0,0,0,9,3,6,0,0
Salem,"25,624",18,0,3,8,7,555,41,470,44,1
Saltville,"1,998",3,1,2,0,0,16,4,9,3,1
Shenandoah,"2,328",1,0,0,0,1,34,4,28,2,0
Smithfield,"8,492",23,1,0,4,18,92,13,72,7,0
South Boston,"7,919",37,0,1,16,20,298,56,234,8,1
South Hill,"4,449",11,0,1,5,5,123,13,105,5,0
Stanley,"1,643",1,0,0,0,1,24,1,21,2,0
Staunton,"24,423",35,0,7,8,20,551,77,456,18,13
Stephens City,"1,990",1,0,0,0,1,25,3,21,1,0
St. Paul,899,2,0,1,0,1,25,5,18,2,0
Strasburg,"6,613",7,0,2,1,4,59,11,47,1,0
Suffolk,"89,922",274,3,26,69,176,"2,231",343,"1,791",97,13
Tappahannock,"2,386",11,0,1,0,10,79,4,73,2,0
Tazewell,"4,320",3,0,1,0,2,48,8,38,2,0
Timberville,"2,659",0,0,0,0,0,6,0,6,0,0
Victoria,"1,663",3,0,0,0,3,28,10,17,1,1
Vienna,"16,590",4,1,2,1,0,132,10,119,3,1
Vinton,"8,207",13,0,2,4,7,220,14,193,13,0
Virginia Beach,"454,353",625,14,102,272,237,"8,790",754,"7,577",459,51
Warrenton,"9,901",13,1,4,4,4,186,7,174,5,0
Warsaw,"1,483",0,0,0,0,0,14,2,11,1,0
Waverly,"2,033",4,1,1,0,2,37,9,25,3,0
Waynesboro,"22,004",40,0,13,10,17,528,46,459,23,1
Weber City,"1,234",1,0,1,0,0,14,2,12,0,0
West Point,"3,313",3,0,0,0,3,28,2,24,2,0
White Stone,340,0,0,0,0,0,2,0,2,0,0
Williamsburg,"15,464",24,1,3,9,11,181,12,156,13,2
Winchester,"27,715",115,0,36,25,54,688,81,584,23,2
Windsor,"2,694",4,0,1,1,2,29,3,26,0,0
Wise,"3,056",4,0,3,0,1,26,8,15,3,0
Woodstock,"5,272",12,1,1,3,7,113,5,102,6,1
Wytheville,"8,084",11,0,3,2,6,170,7,153,10,2
1 The figures shown in this column for the offense of rape were reported using only the revised Uniform Crime Reporting definition of rape. See the data declaration for further explanation. ,,,,,,,,,,,
